,comune,provincia,popolazione,superficie,altitudine,istat,lon,lat
296,San Cipirello,Palermo,5 478,"20,85",394,82063,13.18170348,37.96022597
297,San Cono,Catania,2 790,"6,63",525,87040,14.36600469,37.28994189
298,San Filippo del Mela,Messina,7 065,"10,05",123,83077,15.27181211,38.16929056
299,San Fratello,Messina,3 942,"67,63",675,83078,14.59622906,38.01289142
300,San Giovanni Gemini,Agrigento,8 127,"26,56",670,84036,13.6412019,37.62994447
301,San Giovanni la Punta,Catania,22 049,"10,85",350,87041,15.09429701,37.57706765
302,San Giuseppe Jato,Palermo,8 511,"29,78",467,82064,13.18116224,37.96819483
303,San Gregorio di Catania,Catania,11 497,"5,65",321,87042,15.10845966,37.56488406
304,San Marco d'Alunzio,Messina,2 083,"26,14",540,83079,14.69883524,38.07304978
305,San Mauro Castelverde,Palermo,1 847,"114,37",1 050,82065,14.19009345,37.91446229
306,San Michele di Ganzaria,Catania,3 463,"25,81",490,87043,14.42611634,37.27946798
307,San Pier Niceto,Messina,2 911,"36,68",260,83080,15.35151876,38.15873308
308,San Piero Patti,Messina,3 082,"41,82",448,83081,14.96622365,38.0506834
309,San Pietro Clarenza,Catania,7 102,"6,27",463,87044,15.02419347,37.57233467
310,San Salvatore di Fitalia,Messina,1 378,"15,00",603,83082,14.77745536,38.07054476
311,San Teodoro,Messina,1 421,"13,97",1 150,83090,14.69937355,37.8478077
312,San Teodoro,Messina,1 421,"13,97",1 150,90092,9.67191215,40.7712228
313,San Vito Lo Capo,Trapani,4 415,"60,12",6,81020,12.73502088,38.17309895
314,Sant'Agata di Militello,Messina,12 803,"33,98",30,83084,14.63367737,38.0695205
315,Sant'Agata li Battiati,Catania,9 829,"3,12",320,87045,15.08022998,37.55864644
316,Sant'Alessio Siculo,Messina,1 497,"6,17",15,83085,15.34477639,37.91757739
317,Sant'Alfio,Catania,1 631,"25,86",531,87046,15.14411429,37.74407333
318,Sant'Angelo di Brolo,Messina,3 297,"30,39",314,83088,14.88215123,38.11320212
319,Sant'Angelo Muxaro,Agrigento,1 471,"64,52",335,84039,13.54427616,37.47918744
320,Santa Caterina Villarmosa,Caltanissetta,5 727,"75,82",606,85017,14.03188994,37.59174984
321,Santa Cristina Gela,Palermo,925,"38,74",674,82066,13.32751612,37.98508619
322,Santa Croce Camerina,Ragusa,9 452,"41,09",87,88010,14.52544024,36.82853528
323,Santa Domenica Vittoria,Messina,1 067,"20,16",1 027,83083,14.9618867,37.91554631
324,Santa Elisabetta,Agrigento,2 608,"16,17",457,84037,13.55490487,37.43158452
325,Santa Flavia,Palermo,10 751,"14,60",45,82067,13.52499914,38.08217373
326,Santa Lucia del Mela,Messina,4 744,"85,68",215,83086,15.28317623,38.13999317
327,Santa Margherita di Belice,Agrigento,6 544,"67,28",400,84038,13.02402423,37.6919725
328,Santa Maria di Licodia,Catania,7 322,"26,28",442,87047,14.88739795,37.61617815
329,Santa Marina Salina,Messina,892,"8,78",25,83087,14.87169526,38.55942223
330,Santa Ninfa,Trapani,5 095,"60,94",410,81019,12.88021819,37.77382222
331,Santa Teresa di Riva,Messina,9 240,"8,12",6,83089,15.36794666,37.94571282
332,Santa Venerina,Catania,8 351,"19,03",337,87048,15.13887642,37.68697501
333,Santo Stefano di Camastra,Messina,4 674,"21,92",70,83091,14.34832712,38.01634772
334,Santo Stefano Quisquina,Agrigento,4 897,"85,52",730,84040,13.49031996,37.62469807
335,Saponara,Messina,4 078,"26,26",160,83092,15.43425497,38.19386679
336,Savoca,Messina,1 766,"9,08",303,83093,15.33979136,37.9560734
337,Scaletta Zanclea,Messina,2 249,"4,76",12,83094,15.45932762,38.0428556
338,Sciacca,Agrigento,40 899,"191,67",60,84041,13.08292613,37.50777148
339,Sciara,Palermo,2 787,"31,19",210,82068,13.76261496,37.91464342
340,Scicli,Ragusa,25 922,"138,72",106,88011,14.70590362,36.79359171
341,Scillato,Palermo,627,"31,70",218,82081,13.9068297,37.85670474
342,Sclafani Bagni,Palermo,450,"134,90",755,82069,13.85460399,37.82112946
343,Scordia,Catania,17 185,"24,31",150,87049,14.84609045,37.29649404
344,Serradifalco,Caltanissetta,6 265,"41,94",504,85018,13.88250841,37.45653741
345,Siculiana,Agrigento,4 632,"40,99",129,84042,13.42004274,37.33648457
